logistic_regression,0.7383830889199255,0.6685878962536023,0.7167231859098414,0.6918192646164129,0.46501857336420793,0.2465834452673477,0.7839086031004128
random_forest,0.8864714269087524,0.9434521216345735,0.7689931289171387,0.847335935283818,0.7584560608659192,0.031990535927737866,0.9283666211428239
gradient_boosting,0.8304309241154563,0.8621642969984202,0.6976545993643805,0.771234261376461,0.6388889374185096,0.07741315358168308,0.8776991222143069
knn,0.8705336359404097,0.8764044943820225,0.7962999130017933,0.8344341290070513,0.7285428172114364,0.07794304304427657,0.8955129732100044
mlp,0.8806447858472998,0.9090573694890242,0.7874580544360208,0.8438998401704848,0.7480877096937348,0.054677198733194494,0.9212615875970813
xgboost,0.8961097532588455,0.9270636516933829,0.8101663618770307,0.8646820283483666,0.7809905430573121,0.044239608621178324,0.9342714905186614
perceptron_online,0.9510626728764273,0.9306253349775374,0.951064521444062,0.940733921515943,0.8990678853777221,0.04893860312425075,0.9686239484221829
naive_bayes_online,0.49951352403191285,0.43747762693704434,0.7891500002226646,0.5629018322278977,0.0789163042471357,0.7004088282306652,0.5669631131352983
knn_online,0.755768025535264,0.7514498942233089,0.6005906732515135,0.6676039295614701,0.47834308765418865,0.13712019264820455,0.7854566327985728
hoeffding_tree,0.8196065737142358,0.832076881102358,0.6994179755166747,0.7600019355463079,0.6172262412592482,0.09743149948052107,0.8617106923023299
arf,0.8865530554459371,0.8803245626377749,0.8358263456254648,0.8574985551806766,0.7633700469500007,0.07843209580543824,0.9460892979309792